"N","P","G","Iteration","Method","MAE","RMSE","MAPE"
1000,0.3,30,1,"EWMA",0.00673278866676968,0.174105524174972,31.4688616998865
1000,0.3,30,1,"LI",0.013063332686934,0.168717330535746,30.4162864974389
1000,0.3,30,2,"HWI",0.00300871982904342,0.115508280740112,21.2460348584967
1000,0.3,30,2,"EWMA",0.0339496101312947,0.201136702865055,34.5728654499448
1000,0.3,30,2,"LI",0.0235813014052302,0.244828475637624,42.4287965301685
1000,0.3,30,3,"HWI",0.00497645806470941,0.135474262912869,29.6686415552421
1000,0.3,30,3,"EWMA",0.0197330943032065,0.229400241819845,54.4126904233668
1000,0.3,30,3,"LI",0.0147714981699752,0.221735150185012,51.7871324703481
1000,0.3,30,4,"HWI",0.0104313856411062,0.116296684960887,23.6161078406009
1000,0.3,30,4,"EWMA",0.0336254509845883,0.213217349146696,46.2616603432122
1000,0.3,30,4,"LI",0.0503119177165995,0.199141944312456,44.8543083540044
1000,0.3,30,5,"HWI",6.1225925723194e-05,0.116048360968169,23.9479453190591
1000,0.3,30,5,"EWMA",0.024287393356226,0.206400837496147,42.5614482995794
1000,0.3,30,5,"LI",0.0355030032700371,0.202650963508975,43.747826149773
