"N","P","G","Iteration","Method","MAE","RMSE","MAPE"
1000,0.05,50,2,"NN",0.132347745460409,0.213213260209445,38.4857865910912
1000,0.05,50,2,"EWMA",0.0488901259736502,0.185166817998379,42.0896507568781
1000,0.05,50,2,"LI",0.1111075468735,0.201238884586379,38.1288936837126
1000,0.05,50,2,"KAF",0.446865940291859,0.476277587560219,97.5560118239394
1000,0.05,50,2,"RMEA",0.024071677008077,0.168665506473749,44.1036975348316
1000,0.05,50,2,"NNI",0.0476669124446502,0.161152974970832,36.0074739066596
1000,0.05,50,3,"NN",0.221222402171636,0.287252952574477,92.8018292007864
1000,0.05,50,3,"EWMA",0.0662276817214267,0.206215446131346,66.7895161317288
1000,0.05,50,3,"LI",0.134449016737232,0.234073257054151,78.3927454486688
1000,0.05,50,3,"KAF",0.526513946597142,0.557844461111056,102.560274000497
1000,0.05,50,3,"RMEA",0.0183470735677776,0.182856250158934,51.8684150765575
1000,0.05,50,3,"NNI",0.0816253915202637,0.189199312044724,62.5648634468785
1000,0.05,50,4,"NN",0.227926310305394,0.278258671291838,128.317550725641
1000,0.05,50,4,"EWMA",0.0838654410996982,0.177393435110899,169.461423962993
1000,0.05,50,4,"LI",0.109341964017778,0.207755281439402,181.840174958734
1000,0.05,50,4,"KAF",0.430181673323829,0.456666917306641,94.3246805005357
1000,0.05,50,4,"RMEA",0.000184138554234303,0.154158202890296,191.406306605836
1000,0.05,50,4,"NNI",0.0718132224390271,0.17924638968526,186.933825734013
1000,0.05,50,5,"NN",0.170532943529836,0.253297895173839,77.2035385737716
1000,0.05,50,5,"EWMA",0.142157506897434,0.234978614835987,71.4779229230123
1000,0.05,50,5,"LI",0.18761207081934,0.265800608297941,81.0492251650762
1000,0.05,50,5,"KAF",0.528864846228933,0.568797066801673,111.006861563038
1000,0.05,50,5,"RMEA",0.0179008750780409,0.187868204455628,49.2692463051677
1000,0.05,50,5,"NNI",0.136936893607873,0.221237072412433,66.6488334421882
1000,0.05,50,6,"NN",0.0310391338843825,0.151613270043403,24.0169792884029
1000,0.05,50,6,"EWMA",0.112023638071887,0.211691170834978,41.2394384323548
1000,0.05,50,6,"LI",0.109457536537804,0.203621028002117,39.9513485999829
1000,0.05,50,6,"KAF",0.616041746720716,0.649777837536642,113.14644777459
1000,0.05,50,6,"RMEA",0.010980408423,0.158607870976756,26.2090391177098
1000,0.05,50,6,"NNI",0.0752133680282797,0.16814593493742,32.2189641154372
1000,0.05,50,7,"NN",0.0171423881182073,0.187205941874739,39.8639128006974
1000,0.05,50,7,"EWMA",0.140709335746191,0.239697883737806,35.4078717355341
1000,0.05,50,7,"LI",0.103438277525065,0.217408101000755,35.6863839677097
1000,0.05,50,7,"KAF",0.502455925163571,0.538834304689845,105.459857754688
1000,0.05,50,7,"RMEA",0.00443225328928687,0.18459640865146,40.773233554755
1000,0.05,50,7,"NNI",0.0529732819907608,0.182615863347498,34.7108478847556
1000,0.05,50,8,"NN",0.0872775009006228,0.193712010272325,69.3973342715595
1000,0.05,50,8,"EWMA",0.0608282209323502,0.18177707431676,62.6919982729939
1000,0.05,50,8,"LI",0.0185262890339643,0.174416862747401,55.3405174182284
1000,0.05,50,8,"KAF",0.427678110041953,0.461865650927256,100.726517351731
1000,0.05,50,8,"RMEA",0.0124478216858195,0.174301422366211,56.5229900703267
1000,0.05,50,8,"NNI",0.0463067437682795,0.165099147694926,55.7497635917847
1000,0.05,50,9,"NN",0.0773163604304429,0.17174363202837,40.0788716226105
1000,0.05,50,9,"EWMA",0.0756092607421124,0.188826474454907,47.659768855407
1000,0.05,50,9,"LI",0.187831633969838,0.250460782712318,51.8891498730947
1000,0.05,50,9,"KAF",0.447429157886892,0.467242430220642,102.530474666439
1000,0.05,50,9,"RMEA",0.013891819642737,0.145705141484237,43.5255488500041
1000,0.05,50,9,"NNI",0.138334188663301,0.204217628292819,44.1882737523722
1000,0.05,50,10,"NN",0.0578432510988195,0.162488240976356,40.1748256985779
1000,0.05,50,10,"EWMA",0.0373840669185217,0.15709893199406,39.2618238639867
1000,0.05,50,10,"LI",0.0123983759309839,0.148277796241238,43.0975223309686
1000,0.05,50,10,"KAF",0.447514743870843,0.4748169037958,94.5566920670162
1000,0.05,50,10,"RMEA",0.00297544918124696,0.153293696150981,44.3015476779227
1000,0.05,50,10,"NNI",0.0400926062294494,0.137847148526068,41.3982698745451
1000,0.1,5,1,"NN",0.016198394899432,0.226590350007869,52.3083553039896
1000,0.1,5,1,"EWMA",0.00599443227708493,0.18076043108463,42.6636266743776
1000,0.1,5,1,"LI",0.0136483997290325,0.200543821424948,47.0330908409328
1000,0.1,5,1,"KAF",0.489487932690902,0.518084252330475,103.065679610677
1000,0.1,5,1,"RMEA",0.00566318688487761,0.168283002105017,44.8542106492834
1000,0.1,5,1,"NNI",0.0198958553323371,0.184814593405586,43.3597865542463
1000,0.1,5,2,"NN",0.0768415486195126,0.201881625598905,27.8496894594254
1000,0.1,5,2,"EWMA",0.0419852232930025,0.179931251911199,27.3228204134093
1000,0.1,5,2,"LI",0.0509236806070695,0.17496355150952,25.2263979793866
1000,0.1,5,2,"KAF",0.423439327965272,0.448418848506694,74.1309511263556
1000,0.1,5,2,"RMEA",0.0117791970386088,0.15247130137951,26.2125881395083
1000,0.1,5,2,"NNI",0.0813527202488153,0.174767604538136,23.6681595185817
1000,0.1,5,3,"NN",0.0401896268188744,0.188442926247299,38.5599347451979
1000,0.1,5,3,"EWMA",0.0462306524151771,0.167697134256889,36.7271999575068
1000,0.1,5,3,"LI",0.0383965167587649,0.167026441144033,36.2071912029166
1000,0.1,5,3,"KAF",0.519721782706202,0.551822681887155,108.464238189846
1000,0.1,5,3,"RMEA",0.0242886032475982,0.132560884972766,29.4172214665772
1000,0.1,5,3,"NNI",0.052297662057906,0.156186941541626,34.7293918847057
1000,0.1,5,4,"NN",0.00924706504547045,0.238320910699973,52.6337967908373
1000,0.1,5,4,"EWMA",0.0183253401396326,0.207207890331534,48.4854467638193
1000,0.1,5,4,"LI",0.014879786437303,0.227373705434767,52.800073822052
1000,0.1,5,4,"KAF",0.643104154680412,0.670285131240835,150.249667579356
1000,0.1,5,4,"RMEA",0.00278691429922975,0.173775063944723,43.0929305348032
1000,0.1,5,4,"NNI",0.0563356719697145,0.204006928263577,52.7189155619433
1000,0.1,5,5,"NN",0.0377829338384079,0.238294510536151,58.1134157563238
1000,0.1,5,5,"EWMA",0.0168087830720864,0.193304303170896,49.521505676741
1000,0.1,5,5,"LI",0.0219822929925467,0.228989068339958,56.6251112021273
1000,0.1,5,5,"KAF",0.49271494971244,0.51509760034076,108.256865130152
1000,0.1,5,5,"RMEA",0.0342146938598306,0.154571770940269,43.7419686113726
1000,0.1,5,5,"NNI",0.0212524468598124,0.195329872322183,49.3552638713789
1000,0.1,5,6,"NN",0.0165079538057826,0.184058983032176,30.9875202839252
