"N","P","G","Iteration","Method","MAE","RMSE","MAPE"
1000,0.3,30,1,"HWI",0.0132646835108829,0.176030746479511,47.8750219522272
1000,0.3,30,1,"EWMA",0.0370977725380392,0.190339748075469,57.2648211166911
1000,0.3,30,1,"LI",0.0423785400076061,0.206084211804721,60.0003155069819
1000,0.3,30,1,"NNI",0.0943721512386212,0.212260377367354,65.6346460040827
1000,0.3,30,2,"HWI",0.0169277447415736,0.174716461755981,38.194690982601
1000,0.3,30,2,"EWMA",0.00321613030261401,0.202948585649575,42.3958544977299
1000,0.3,30,2,"LI",0.0345061715643246,0.211201265271959,45.0419907558708
1000,0.3,30,2,"NNI",0.0214378517707615,0.201608370581933,43.325474199929
1000,0.3,30,3,"HWI",0.0105551205182019,0.155378598410351,29.6933296523674
1000,0.3,30,3,"EWMA",0.0745301186329187,0.200722795205936,33.5081757562082
1000,0.3,30,3,"LI",0.0668797497276375,0.210606999895866,35.7564680968177
1000,0.3,30,3,"NNI",0.10076662999964,0.230051043797998,48.2403773696269
1000,0.3,30,4,"HWI",0.0186575570145017,0.160517509638467,31.4453513774893
1000,0.3,30,4,"EWMA",0.015735354245243,0.175710243967453,35.749208483518
1000,0.3,30,4,"LI",0.0425503974524161,0.190115362174327,40.7894399956815
1000,0.3,30,4,"NNI",0.245608808542493,0.306402036907075,72.116875169175
1000,0.3,30,5,"HWI",0.00190682561904481,0.155985149050868,36.5697433787791
1000,0.3,30,5,"EWMA",0.000653594597174578,0.203372002198795,44.3393250150766
1000,0.3,30,5,"LI",0.0145091345939023,0.18130534979933,41.6828930544887
1000,0.3,30,5,"NNI",0.0347173683878883,0.185805438527723,43.7576590033378
