"N","P","G","Iteration","Method","max_iter","K","n_series","random","method","Modulus","Argument","MAE","RMSE","MAPE"
1000,0.1,10,4,"NNI",10,5,100,"TRUE","all",0.05,0.523598775598299,0.0598389895932859,0.247229148875181,43.4287437642508
1000,0.1,10,4,"NNI",10,10,10,"TRUE","all",0.05,0.523598775598299,0.0425399817155784,0.261538482531903,47.3954613597897
1000,0.1,10,4,"NNI",10,10,30,"TRUE","all",0.05,0.523598775598299,0.0554842064233607,0.25897535726526,45.9539253183087
1000,0.1,10,4,"NNI",10,10,50,"TRUE","all",0.05,0.523598775598299,0.0591151908414548,0.268100805341403,47.8717365090375
1000,0.1,10,4,"NNI",25,5,20,"TRUE","all",0.05,0.523598775598299,0.0845058094458764,0.274088051745427,47.6833075555859
1000,0.1,10,4,"NNI",25,5,60,"TRUE","all",0.05,0.523598775598299,0.102229022194642,0.267890544604984,46.3974967791059
1000,0.1,10,4,"NNI",25,5,100,"TRUE","all",0.05,0.523598775598299,0.12704069433679,0.281362537119459,48.2685330867926
1000,0.1,10,4,"NNI",25,10,10,"TRUE","all",0.05,0.523598775598299,0.0730514980780071,0.27274318448177,48.0591065643038
1000,0.1,10,4,"NNI",25,10,30,"TRUE","all",0.05,0.523598775598299,0.101718468752701,0.259231545352904,44.6763053176776
1000,0.1,10,4,"NNI",25,10,50,"TRUE","all",0.05,0.523598775598299,0.121091768510837,0.284388987242864,49.5624943565914
1000,0.1,10,4,"NNI",10,5,20,"FALSE","all",0.05,0.523598775598299,0.0370459968822187,0.165475895343642,30.7805248678205
1000,0.1,10,4,"NNI",10,5,60,"FALSE","all",0.05,0.523598775598299,0.0447141666488832,0.187724149220842,34.352166108015
1000,0.1,10,4,"NNI",10,5,100,"FALSE","all",0.05,0.523598775598299,0.0608591804729884,0.214386364393843,37.2081810214343
1000,0.1,10,4,"NNI",10,10,10,"FALSE","all",0.05,0.523598775598299,0.0400764128642266,0.173926872602886,32.5552268885289
1000,0.1,10,4,"NNI",10,10,30,"FALSE","all",0.05,0.523598775598299,0.0370673801379388,0.17344142038635,32.3053776768595
